397;965
116;90
300;902
644;572
666;940
315;999
814;794
761;144
881;586
221;798
853;290
743;990
98;715
640;250
531;859
948;167
482;514
366;66
926;634
571;812
593;232
943;379
327;317
916;75
568;837
56;153
202;726
991;106
222;126
991;584
261;394
41;806
991;147
517;299
427;695
218;247
14;409
205;621
347;364
663;781
798;565
682;693
802;794
964;756
523;259
844;800
642;986
551;199
191;136
388;179
799;616
647;872
619;809
138;793
521;369
759;858
463;209
786;695
712;347
4;196
183;761
776;168
851;418
604;28
857;5
429;210
975;483
981;181
917;809
74;993
655;170
234;153
500;986
337;432
199;855
486;843
131;191
996;38
840;479
21;201
204;110
936;515
940;548
882;979
228;604
777;902
272;10
541;12
526;622
667;865
80;172
828;2
518;585
79;784
487;943
341;438
788;873
789;545
234;719
213;951
103;357
204;594
77;583
571;121
650;983
512;217
811;156
120;32
281;933
996;354
469;97
491;285
263;339
114;399
221;995
777;806
409;716
761;723
967;234
924;934
14;958
134;504
430;123
626;631
753;756
264;300
722;859
481;6
865;919
331;737
468;171
899;655
205;705
808;95
394;397
64;47
9;61
339;511
962;987
854;140
713;483
645;465
730;477
83;549
234;754
857;47
902;186
465;843
58;479
298;724
314;531
237;356
691;217
291;661
520;970
44;877
64;191
24;985
525;433
924;728
621;259
860;639
539;17
144;822
595;496
452;482
689;130
825;181
245;289
773;512
185;422
29;264
710;979
982;711
162;480
317;624
554;570
102;55
670;597
816;674
73;468
65;24
517;561
188;934
365;842
740;236
660;412
542;199
230;595
929;560
34;433
660;115
178;827
927;118
27;770
510;648
472;98
439;716
357;4
746;149
790;47
345;319
739;81
964;142
27;903
825;74
668;256
640;640
808;949
845;689
633;70
907;595
331;91
763;561
973;825
841;225
849;779
769;986
87;341
375;97
863;785
90;123
945;435
980;216
458;798
908;407
159;56
516;720
140;749
987;647
318;402
169;201
62;599
225;888
486;653
552;466
573;748
826;848
979;783
650;895
111;546
103;174
917;433
66;792
263;49
845;338
354;727
779;460
616;889
61;345
210;91
730;804
246;442
834;410
230;667
740;357
99;91
536;771
299;994
284;628
533;433
624;436
807;214
112;845
968;365
231;90
721;304
685;19
816;298
927;474
599;655
561;595
308;488
238;262
191;7
161;621
604;433
812;776
467;293
996;32
329;988
441;864
436;650
635;794
405;516
954;0
66;809
28;877
871;28
128;319
975;849
654;960
203;610
485;287
492;909
552;523
301;895
145;611
213;697
159;657
852;444
857;675
53;161
554;794
404;934
904;438
165;677
56;479
334;480
661;825
165;347
301;496
964;431
698;171
664;417
663;174
868;470
466;530
992;978
907;42
55;690
883;557
4;113
358;624
838;665
277;732
35;334
492;505
142;361
711;621
462;383
130;987
270;730
569;694
211;526
487;355
573;619
769;474
464;743
491;850
72;74
332;999
140;931
138;534
977;961
387;631
267;285
579;672
560;895
287;274
544;663
412;312
177;921
159;416
564;18
40;399
869;861
549;388
51;130
847;339
591;34
717;249
138;856
87;287
40;97
913;569
456;217
305;409
661;19
821;218
771;722
969;958
921;988
761;406
736;190
620;429
48;947
682;509
945;162
174;321
834;872
376;467
104;471
942;651
555;139
726;32
309;628
568;869
65;758
328;149
94;681
550;849
476;483
520;509
534;796
463;499
844;499
384;899
345;502
854;449
46;109
851;597
464;588
120;419
379;813
444;187
833;25
227;152
321;526
990;620
950;433
117;759
676;227
187;809
244;668
523;562
904;879
103;984
830;953
385;887
363;100
130;720
351;276
665;819
272;231
577;819
511;233
498;613
992;91
920;236
401;310
175;710
290;881
282;954
922;243
322;368
141;103
257;849
302;396
407;400
562;368
537;12
91;704
50;671
380;489
991;738
32;148
486;52
925;419
429;470
993;710
897;29
908;208
677;408
975;649
310;595
684;520
674;33
773;162
618;586
830;611
574;432
251;584
336;992
617;204
924;883
966;937
407;851
471;507
104;883
26;642
695;731
179;395
53;511
474;453
278;763
800;843
639;381
135;464
777;324
872;685
791;771
725;427
628;747
113;822
562;266
58;735
560;188
916;843
252;855
531;824
518;163
926;160
82;123
297;25
715;6
730;779
10;341
851;924
5;752
766;305
398;652
890;12
705;65
282;450
464;292
211;921
793;47
167;627
844;564
344;505
449;87
106;555
535;278
724;219
336;992
837;500
88;225
426;866
273;913
455;17
841;846
561;423
794;808
986;963
174;224
79;441
407;261
855;310
545;335
476;427
340;63
114;471
454;711
832;567
620;301
354;930
109;327
664;603
526;682
760;727
291;761
45;112
913;396
93;827
369;115
320;937
437;27
677;777
732;89
968;83
975;418
342;872
869;148
331;80
597;252
784;862
574;749
135;579
18;1
558;58
617;5
198;504
980;416
493;81
650;886
870;436
714;677
751;872
418;172
242;764
64;12
229;117
331;458
363;688
892;98
759;731
530;909
465;970
220;838
892;453
654;250
429;710
382;347
148;897
997;262
160;845
758;793
994;605
775;80
173;522
52;805
189;552
127;138
906;804
211;781
651;580
279;789
110;814
583;518
734;984
309;466
690;629
937;913
972;737
915;860
194;139
664;369
401;849
61;877
583;243
441;343
685;215
610;580
565;969
683;180
21;256
346;189
212;585
114;559
615;213
166;169
888;350
587;511
915;909
388;260
752;705
935;491
542;966
780;475
18;356
347;3
53;735
838;937
793;474
157;815
734;501
261;369
77;272
454;335
628;99
665;656
581;422
427;315
321;854
646;246
805;639
540;259
866;162
115;153
511;650
718;440
752;572
526;250
444;565
414;270
511;445
847;919
691;691
422;630
307;523
615;938
828;911
10;94
961;2
503;914
156;301
823;978
380;224
903;8
896;176
871;756
440;376
735;359
792;621
568;174
739;485
845;988
34;779
612;841
562;432
289;441
62;499
114;209
621;869
538;466
787;414
734;131
651;859
498;452
175;650
301;339
434;328
175;671
456;835
943;601
611;62
445;463
886;430
694;941
261;525
738;923
82;101
386;325
750;714
337;174
280;160
665;912
130;950
6;733
324;443
753;785
925;937
854;725
968;270
244;220
165;556
190;650
911;378
257;333
941;849
920;741
498;768
320;451
396;533
333;936
424;960
617;818
771;952
998;144
